partner_id,partner_name,partner_type,owner,stage,last_contact_date,next_action_date,response_status,priority,notes
P001,Catalyst Ventures,Investor,Nadia,Active discussion,2026-08-12,2026-08-19,Awaiting reply,High,Requested startup pipeline summary
P002,FutureWorks University,University,Amir,MoU drafting,2026-08-10,2026-08-17,Internal action,High,Legal comments pending
P003,LaunchAsia Network,Ecosystem,Farah,Event collaboration,2026-08-01,2026-08-18,Awaiting reply,Medium,Need speaker confirmation
P004,Orbit Manufacturing,Corporate,Jason,Pilot scoping,2026-07-28,2026-08-14,Overdue,High,Technical call not scheduled
P005,GreenBridge Fund,Investor,Siti,Introduction,2026-08-05,2026-08-20,Awaiting reply,Medium,Interested in clean-tech cohort
P006,BioHealth Alliance,Industry,Aina,Programme partner,2026-07-15,2026-08-05,Overdue,High,No follow-up after workshop
P007,Digital Export Council,Agency,Mira,Referral partner,2026-08-11,2026-08-25,On track,Low,Monthly check-in
P008,DeepTech Foundry,Corporate,Wei,Technical partnership,2026-08-04,2026-08-18,Internal action,Medium,Draft use case required
P009,Blue Economy Hub,Ecosystem,Hafiz,Programme design,2026-07-30,2026-08-13,Overdue,Medium,Need programme owner
P010,Northern Angels,Investor,Azlan,Investor matching,2026-08-09,2026-08-21,Awaiting reply,High,3 startup intros sent
