application_id,company_name,scheme,approved_amount_rm,disbursed_amount_rm,approval_date,status,source_channel
A1001,Nexa Robotics Sdn Bhd,Prototype Grant,250000,150000,2025-03-12,Approved,Portal
A1002,BioNova Labs Sdn. Bhd.,Commercialisation Fund,500000,500000,2025-05-20,Completed,Portal
A1003,GreenGrid Energy,Prototype Grant,180000,120000,2024-11-01,approved,Manual
A1004,QuantumWorks,Commercialisation Fund,650000,300000,2025-06-08,Approved,Portal
A1005,AeroSense Technologies,Sandbox Support,75000,25000,2026-01-15,On Hold,Email
A1006,Medivista AI Sdn Bhd,Prototype Grant,300000,100000,2026-02-10,APPROVED,Portal
A1007,NEXA ROBOTICS SDN. BHD.,Prototype Grant,250000,100000,2025-09-30,Approved,Manual
A1008,UrbanFarmX,Sandbox Support,80000,80000,2025-08-22,completed,Portal
A1009,DataForge Analytics,Commercialisation Fund,420000,220000,2024-07-05,Approved,Portal
A1010,OceanLoop Sdn Bhd,Prototype Grant,200000,50000,2025-10-17,Pending Docs,Email
A1011,CircuitTree Technologies,Commercialisation Fund,700000,0,2026-03-03,Approved,Portal
A1012,Bio Nova Labs,Commercialisation Fund,120000,120000,2025-12-09,Completed,Manual
A1013,SolarMesh,Sandbox Support,90000,60000,2024-05-18,Approved,Portal
A1014,NeuroLink Assistive,Prototype Grant,280000,120000,2026-04-06,Approved,Portal
A1015,AgriPulse Systems,Commercialisation Fund,350000,175000,2025-02-14,Approved,Manual
A1016,Orbital Materials,Prototype Grant,320000,0,2026-05-11,Pending docs,Portal
A1017,Unknown Venture,Prototype Grant,150000,0,2026-06-01,Submitted,Email
