month,building,electricity_kwh,electricity_rm,water_m3,water_rm,gas_mmbtu,gas_rm,occupancy_pct,notes
2026-01,HIVE 5,182000,98280,3150,6820,410,14350,74,
2026-02,HIVE 5,176500,95310,3090,6690,398,13930,72,
2026-03,HIVE 5,191000,103140,3210,6950,425,14880,76,
2026-04,HIVE 5,205500,110970,3290,7130,432,15120,76,Electricity increase
2026-05,HIVE 5,228000,123120,3340,7240,438,15330,75,Potential anomaly: kWh jump without occupancy change
2026-06,HIVE 5,231500,125010,3360,7280,441,15440,75,
2026-01,Innovation Centre,121000,65340,2200,4770,180,6300,68,
2026-02,Innovation Centre,119500,64530,2180,4720,177,6195,66,
2026-03,Innovation Centre,124000,66960,2215,4800,181,6335,69,
2026-04,Innovation Centre,128500,69390,2250,4875,184,6440,70,
2026-05,Innovation Centre,131000,70740,2290,4960,186,6510,70,
2026-06,Innovation Centre,133000,71820,2410,5220,187,6545,69,Water increase requires check
